GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-skills-sqlite-ejercicio,es.ies.puerto,PrincipalApplication,41,0,0,0,12,0,3,0,3,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,UsuarioRepository,281,0,14,0,74,0,13,0,6,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,ActividadRepository,477,0,24,0,120,0,22,0,10,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,Sqlite3Manager,24,0,0,0,9,0,5,0,5,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,ReservaRepository,337,0,16,0,85,0,15,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,IncidenciaRepository,379,0,16,0,94,0,15,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.controllers,MainController.new ListCell() {...},39,0,4,0,11,0,4,0,2,0
employee-skills-sqlite-ejercicio,es.ies.puerto.controllers,MainController.new ListCell() {...},30,0,4,0,10,0,4,0,2,0
employee-skills-sqlite-ejercicio,es.ies.puerto.controllers,MainController.new ListCell() {...},44,0,6,0,13,0,5,0,2,0
employee-skills-sqlite-ejercicio,es.ies.puerto.controllers,MainController,867,0,26,0,174,0,40,0,27,0
employee-skills-sqlite-ejercicio,es.ies.puerto.utils,Validaciones,238,0,102,0,49,0,68,0,17,0
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Incidencias,84,27,12,0,25,10,20,3,14,3
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Reservas,77,24,12,0,22,9,18,3,12,3
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Usuarios,78,27,12,0,22,10,19,3,13,3
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Actividades,16,99,7,5,0,36,6,18,0,18
employee-skills-sqlite-ejercicio,es.ies.puerto.services,ActividadService,101,0,18,0,29,0,20,0,11,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,UsuarioService,58,0,8,0,19,0,11,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,ReservaService,169,0,28,0,45,0,22,0,8,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,IncidenciaService,70,0,10,0,22,0,13,0,8,0
