GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-skills-sqlite-ejercicio,es.ies.puerto,PrincipalApplication,3,0,0,0,1,0,1,0,1,0
employee-skills-sqlite-ejercicio,es.ies.puerto.controllers,MainController,3,0,0,0,1,0,1,0,1,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,UsuarioRepository,271,0,14,0,69,0,13,0,6,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,Sqlite3Manager,24,0,0,0,9,0,5,0,5,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,ActividadRepository,461,0,24,0,112,0,22,0,10,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,ReservaRepository,307,0,16,0,79,0,15,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.repositories,IncidenciaRepository,344,0,16,0,88,0,15,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.utils,Validaciones,238,0,102,0,49,0,68,0,17,0
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Incidencias,111,0,12,0,35,0,23,0,17,0
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Usuarios,105,0,12,0,32,0,22,0,16,0
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Reservas,101,0,12,0,31,0,21,0,15,0
employee-skills-sqlite-ejercicio,es.ies.puerto.modelos,Actividades,16,99,7,5,0,36,6,18,0,18
employee-skills-sqlite-ejercicio,es.ies.puerto.services,ActividadService,101,0,18,0,29,0,20,0,11,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,UsuarioService,58,0,8,0,19,0,11,0,7,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,ReservaService,169,0,28,0,45,0,22,0,8,0
employee-skills-sqlite-ejercicio,es.ies.puerto.services,IncidenciaService,70,0,10,0,22,0,13,0,8,0
